Name,Number,SampleType,Location,CellLine,Media,Treatment,Replicate,Run Order
,Pool,,,,,,,1
"815, DMEM, Methanol Cell pellet (3)",147,Cell pellet,Box #3,815,DMEM,none,3,2
"815, DMEM + Atorv, Methanol Cell pellet (1)",154,Cell pellet,Box #3,815,DMEM,Atorvastatin,1,3
"815, STDP, Methanol Cell pellet (1)",163,Cell pellet,Box #3,815,STDP,none,1,4
"141, DMEM + Atorv, Methanol Cell pellet (3)",12,Cell pellet,Box #1,141,DMEM,Atorvastatin,3,5
"863, STDP + Atorv, Methanol Cell pellet (1)",208,Cell pellet,Box #3,863,STDP,Atorvastatin,1,6
"815, STDP, Methanol Cell pellet (2)",164,Cell pellet,Box #3,815,STDP,none,2,7
"224B, STDP + Atorv, Methanol Cell pellet (3)",138,Cell pellet,Box #2,224B,STDP,Atorvastatin,3,8
"224B, STDP, Methanol Cell pellet (2)",128,Cell pellet,Box #2,224B,STDP,none,2,9
,Pool,,,,,,,10
"224A, STDP, Methanol Cell pellet (2)",92,Cell pellet,Box #2,224A,STDP,none,2,11
"815, STDP + Atorv, Methanol Cell pellet (3)",174,Cell pellet,Box #3,815,STDP,Atorvastatin,3,12
"863, STDP, Methanol Cell pellet (3)",201,Cell pellet,Box #3,863,STDP,none,3,13
"224A, DMEM + Atorv, Methanol Cell pellet (2)",83,Cell pellet,Box #2,224A,DMEM,Atorvastatin,2,14
"246, DMEM + Atorv, Methanol Cell pellet (3)",48,Cell pellet,Box #1,246,DMEM,Atorvastatin,3,15
"141, DMEM, Methanol Cell pellet (2)",2,Cell pellet,Box #1,141,DMEM,none,2,16
"246, DMEM + Atorv, Methanol Cell pellet (2)",47,Cell pellet,Box #1,246,DMEM,Atorvastatin,2,17
"863, STDP, Methanol Cell pellet (1)",199,Cell pellet,Box #3,863,STDP,none,1,18
,Pool,,,,,,,19
"141, DMEM + Atorv, Methanol Cell pellet (1)",10,Cell pellet,Box #1,141,DMEM,Atorvastatin,1,20
"224A, DMEM, Methanol Cell pellet (3)",75,Cell pellet,Box #2,224A,DMEM,none,3,21
"246, STDP, Methanol Cell pellet (3)",57,Cell pellet,Box #1,246,STDP,none,3,22
"141, STDP + Atorv, Methanol Cell pellet (3)",30,Cell pellet,Box #1,141,STDP,Atorvastatin,3,23
"815, STDP + Atorv, Methanol Cell pellet (1)",172,Cell pellet,Box #3,815,STDP,Atorvastatin,1,24
"246, DMEM + Atorv, Methanol Cell pellet (1)",46,Cell pellet,Box #1,246,DMEM,Atorvastatin,1,25
"224B, DMEM, Methanol Cell pellet (3)",111,Cell pellet,Box #2,224B,DMEM,none,3,26
"224A, DMEM, Methanol Cell pellet (1)",73,Cell pellet,Box #2,224A,DMEM,none,1,27
,Pool,,,,,,,28
"224B, STDP, Methanol Cell pellet (1)",127,Cell pellet,Box #2,224B,STDP,none,1,29
"224B, DMEM + Atorv, Methanol Cell pellet (1)",118,Cell pellet,Box #2,224B,DMEM,Atorvastatin,1,30
"246, STDP + Atorv, Methanol Cell pellet (3)",66,Cell pellet,Box #1,246,STDP,Atorvastatin,3,31
"141, STDP, Methanol Cell pellet (2)",20,Cell pellet,Box #1,141,STDP,none,2,32
"863, DMEM, Methanol Cell pellet (3)",183,Cell pellet,Box #3,863,DMEM,none,3,33
"815, DMEM, Methanol Cell pellet (1)",145,Cell pellet,Box #3,815,DMEM,none,1,34
"863, STDP + Atorv, Methanol Cell pellet (3)",210,Cell pellet,Box #3,863,STDP,Atorvastatin,3,35
"815, DMEM + Atorv, Methanol Cell pellet (3)",156,Cell pellet,Box #3,815,DMEM,Atorvastatin,3,36
,Pool,,,,,,,37
"246, STDP, Methanol Cell pellet (2)",56,Cell pellet,Box #1,246,STDP,none,2,38
"246, STDP + Atorv, Methanol Cell pellet (2)",65,Cell pellet,Box #1,246,STDP,Atorvastatin,2,39
"141, DMEM, Methanol Cell pellet (3)",3,Cell pellet,Box #1,141,DMEM,none,3,40
"141, DMEM + Atorv, Methanol Cell pellet (2)",11,Cell pellet,Box #1,141,DMEM,Atorvastatin,2,41
"246, DMEM, Methanol Cell pellet (3)",39,Cell pellet,Box #1,246,DMEM,none,3,42
"224A, DMEM + Atorv, Methanol Cell pellet (1)",82,Cell pellet,Box #2,224A,DMEM,Atorvastatin,1,43
"224B, STDP, Methanol Cell pellet (3)",129,Cell pellet,Box #2,224B,STDP,none,3,44
"224B, DMEM + Atorv, Methanol Cell pellet (2)",119,Cell pellet,Box #2,224B,DMEM,Atorvastatin,2,45
,Pool,,,,,,,46
"224A, STDP, Methanol Cell pellet (1)",91,Cell pellet,Box #2,224A,STDP,none,1,47
"863, DMEM + Atorv, Methanol Cell pellet (1)",190,Cell pellet,Box #3,863,DMEM,Atorvastatin,1,48
"224B, STDP + Atorv, Methanol Cell pellet (1)",136,Cell pellet,Box #2,224B,STDP,Atorvastatin,1,49
"224B, DMEM, Methanol Cell pellet (2)",110,Cell pellet,Box #2,224B,DMEM,none,2,50
"224B, DMEM, Methanol Cell pellet (1)",109,Cell pellet,Box #2,224B,DMEM,none,1,51
"224A, STDP + Atorv, Methanol Cell pellet (2)",101,Cell pellet,Box #2,224A,STDP,Atorvastatin,2,52
"141, STDP + Atorv, Methanol Cell pellet (2)",29,Cell pellet,Box #1,141,STDP,Atorvastatin,2,53
"863, DMEM, Methanol Cell pellet (2)",182,Cell pellet,Box #3,863,DMEM,none,2,54
,Pool,,,,,,,55
"815, STDP + Atorv, Methanol Cell pellet (2)",173,Cell pellet,Box #3,815,STDP,Atorvastatin,2,56
"224A, DMEM, Methanol Cell pellet (2)",74,Cell pellet,Box #2,224A,DMEM,none,2,57
"224A, DMEM + Atorv, Methanol Cell pellet (3)",84,Cell pellet,Box #2,224A,DMEM,Atorvastatin,3,58
"246, STDP, Methanol Cell pellet (1)",55,Cell pellet,Box #1,246,STDP,none,1,59
