name,LM Main Class,LM Subclass
AcCar(16:0),Fatty esters,Fatty acyl carnitines
AcCar(18:1),Fatty esters,Fatty acyl carnitines
BMP(16:0_18:0),Glycerophosphoglycerols,Bismonoacylglycerophosphate
BMP(16:0_20:1),Glycerophosphoglycerols,Bismonoacylglycerophosphate
BMP(18:0_18:0),Glycerophosphoglycerols,Bismonoacylglycerophosphate
BMP(18:0_18:1),Glycerophosphoglycerols,Bismonoacylglycerophosphate
CE(18:2),Sterols,Sterol Esters
Cer-EODS(d18:0/12:1-O-16:0),Ceramides,Ceramide Esterified omega-hydroxy fatty acid-dihydrosphingosine
Cer-NDS(d18:0/16:0),Ceramides,Ceramide non-hydroxyfatty acid-dihydrosphingosine
Cer-NDS(d18:0/22:0),Ceramides,Ceramide non-hydroxyfatty acid-dihydrosphingosine
Cer-NDS(d18:0/24:1),Ceramides,Ceramide non-hydroxyfatty acid-dihydrosphingosine
Cer-NS(d18:1/14:0),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d18:1/16:0),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d18:1/18:0),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d18:1/22:0),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d18:1/24:0),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d18:1/24:1),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d18:2/16:0),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d18:2/24:1),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d19:1/25:1),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d19:2/24:1),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
Cer-NS(d20:1/24:0),Ceramides,Ceramide non-hydroxyfatty acid-sphingosine
CL(16:0_18:0_18:0_18:1),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
CL(16:0_18:1_20:0_20:0),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
CL(16:1_18:1_18:1_18:2),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
CL(18:0_20:0_20:0_20:1),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
CL(18:0_20:2_20:2_20:2),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
CL(18:1_18:1_18:2_20:3),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
CL(18:1_20:0_20:1_20:1),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
CL(18:1_20:0_20:1_20:2),Glycerophosphoglycerophosphoglycerols,Diacylglycerophosphoglycerophosphodiradylglycerols 
DG(16:0_18:0),Diradylglycerols,Diacylglycerols
DG(18:0_18:0),Diradylglycerols,Diacylglycerols
DG(18:1_18:1),Diradylglycerols,Diacylglycerols
DMPE(14:0_16:0),Glycerophosphoethanolamines,Diacylglycerophosphoethanolamines
DMPE(14:0_16:1),Glycerophosphoethanolamines,Diacylglycerophosphoethanolamines
DMPE(14:1_16:1),Glycerophosphoethanolamines,Diacylglycerophosphoethanolamines
DMPE(16:0_20:4),Glycerophosphoethanolamines,Diacylglycerophosphoethanolamines
DMPE(16:0_22:1),Glycerophosphoethanolamines,Diacylglycerophosphoethanolamines
DMPE(16:0_22:6),Glycerophosphoethanolamines,Diacylglycerophosphoethanolamines
DMPE(16:0_24:1),Glycerophosphoethanolamines,Diacylglycerophosphoethanolamines
