row.ID,row.m.z,row.retention.time,ID_Ranked,Intensity_Ranked,Class_At_Max_Intensity,Adduct_At_Max_Intensity,Only_One_Class,LIPNEG17MAR_01.BLANK.1,LIPNEG17MAR_10.111,LIPNEG17MAR_11.191,LIPNEG17MAR_14.56,LIPNEG17MAR_07.73,LIPNEG17MAR_09.38,LIPNEG17MAR_08.55,LIPNEG17MAR_02.POOL.1,LIPNEG17MAR_16.12,LIPNEG17MAR_20.BLANK.2,LIPNEG17MAR_13.102,LIPNEG17MAR_17.127,LIPNEG17MAR_24.128,LIPNEG17MAR_15.118,LIPNEG17MAR_03.201,LIPNEG17MAR_18.146,LIPNEG17MAR_26.129,LIPNEG17MAR_25.110,LIPNEG17MAR_23.100,LIPNEG17MAR_12.74,LIPNEG17MAR_22.92,LIPNEG17MAR_27.37,LIPNEG17MAR_21.POOL.2,LIPNEG17MAR_28.29,LIPNEG17MAR_33.47,LIPNEG17MAR_31.46,LIPNEG17MAR_35.137,LIPNEG17MAR_34.91,LIPNEG17MAR_30.75,LIPNEG17MAR_32.119,LIPNEG17MAR_36.200,LIPNEG17MAR_42.BLANK3,LIPNEG17MAR_38.183,LIPNEG17MAR_37.154,LIPNEG17MAR_41.173,LIPNEG17MAR_45.66,LIPNEG17MAR_44.172,LIPNEG17MAR_46.19,LIPNEG17MAR_50.28,LIPNEG17MAR_49.101,LIPNEG17MAR_40.190,LIPNEG17MAR_39.192,LIPNEG17MAR_43.POOL.3,LIPNEG17MAR_62.BLANK.4,LIPNEG17MAR_55.20,LIPNEG17MAR_52.3,LIPNEG17MAR_53.109,LIPNEG17MAR_59.48,LIPNEG17MAR_51.145,LIPNEG17MAR_47.1,LIPNEG17MAR_64.64,LIPNEG17MAR_60.84,LIPNEG17MAR_56.10,LIPNEG17MAR_58.156,LIPNEG17MAR_57.155,LIPNEG17MAR_48.165,LIPNEG17MAR_65.136,LIPNEG17MAR_66.21,LIPNEG17MAR_54.164,LIPNEG17MAR_72.147,LIPNEG17MAR_69.11,LIPNEG17MAR_74.65,LIPNEG17MAR_63.POOL.4,LIPNEG17MAR_71.2,LIPNEG17MAR_61.199,LIPNEG17MAR_68.174,LIPNEG17MAR_89.BLANK.5,LIPNEG17MAR_79.138,LIPNEG17MAR_76.120,LIPNEG17MAR_75.57,LIPNEG17MAR_73.93,LIPNEG17MAR_67.181,LIPNEG17MAR_85.30,LIPNEG17MAR_70.182,LIPNEG17MAR_87.209,LIPNEG17MAR_83.83,LIPNEG17MAR_80.163,LIPNEG17MAR_86.208,LIPNEG17MAR_88.210,LIPNEG17MAR_84.39,LIPNEG17MAR_90.POOL.5,LIPNEG17MAR_77.82
573,734.6648657,16.10201838,1_Cer-EODS(d18:0/12:1-O-16:0)-H | 1_Cer-EODS(d17:0/13:1-O-16:0)-H,198.79073 | 125.30264,Cer-EODS,[M-H]-,Yes,137.6805767,96558.92096,654929.0528,79267.7732,179817.8209,79778.55493,63023.84925,299644.3733,314844.0769,0,86412.79791,135577.245,169005.6681,160610.7426,513199.5628,191302.7557,124798.9446,108068.2207,143665.0342,184410.6611,105513.633,77633.47143,461351.4943,391713.4604,70355.74191,82188.49149,136387.7061,102346.6531,148546.1575,134655.2038,605047.0934,0,428568.0821,230324.8978,458956.1429,80660.03324,344496.4999,509101.8788,433510.6434,140693.1239,592489.4948,781627.1933,504770.2243,0,340486.9883,270209.276,114593.3076,54838.68417,183653.1635,548899.6019,59731.09783,192098.8294,309092.4869,265611.0052,220956.2724,378460.9586,200399.4907,334611.1396,302956.5407,180566.6242,333726.0274,72879.31265,431112.1229,405246.3178,584552.6458,445059.0607,0,166644.3348,126886.3586,100569.7603,135864.8643,551378.1453,391317.0199,584029.5471,558234.0037,166439.8008,369134.2042,862547.212,762183.2327,117061.6493,433870.3678,190391.4736
1954,584.5242623,14.04894134,1_Cer-NDS(d18:0/16:0)+HCO2,11884.47928,Cer-NDS,[M+HCO2]-,Yes,0,6215.214078,224788.9033,35818.79434,9903.320928,15073.60434,30013.83341,106619.2035,353535.2214,0,56171.75622,34321.52535,19772.31896,15468.2276,150529.2639,15705.01084,35126.21318,8863.226978,41720.75897,23239.71624,23061.12096,16277.40716,109715.7436,567804.7992,27365.20773,22410.40607,31329.48986,27879.43458,15793.19744,16542.87597,154053.8042,0,118814.8298,93839.33276,221481.3943,86045.66528,186209.1522,439519.1906,527475.192,49400.6133,240511.7946,320572.9922,148912.3207,0,294171.1155,313366.4352,6789.517695,38207.1422,35634.47453,551306.5899,54546.81212,63798.61454,282985.4678,138162.8188,74398.15655,12480.74003,35989.92482,312732.8047,19044.40999,20777.50949,313258.2924,41886.72582,160247.9328,441886.6349,162388.0801,80556.1979,0,36012.77163,19891.83388,107690.2253,25459.45339,127636.1279,741467.5105,148998.351,265458.4973,55714.41414,18695.47297,381925.7047,354490.6336,22973.84895,189852.8969,66854.83429
3261,668.6167841,15.85255212,1_Cer-NDS(d18:0/22:0)+HCO2 | 1_Cer-NDS(d16:0/24:0)+HCO2,941.158091 | 877.255804,Cer-NDS,[M+HCO2]-,Yes,37.20937253,0,0,0,0,0,0,22569.3991,35203.9955,15.42238922,0,0,7313.049736,0,0,5586.137273,0,5415.932923,0,3744.026719,6266.153039,0,29031.22862,54424.59137,6567.274403,0,11485.67988,0,0,8274.088219,25482.50096,739.5691899,7571.277518,0,27747.65462,18836.04364,28092.39599,70589.78301,0,9493.377185,36965.02919,41613.07521,20847.21535,945.4058519,51893.25944,29638.48611,0,7987.784437,0,55012.75773,0,0,30622.1647,32596.97083,0,8580.680596,7156.539724,58124.91675,0,0,33529.60728,19727.37243,31962.78547,36747.41277,32931.14275,33232.38724,816.0352383,16939.22064,0,24497.55754,0,19981.76113,199838.3315,23508.19043,40836.56515,8829.522347,7927.411445,44916.43286,45926.82195,9124.225232,32542.59949,7426.594166
222,646.6124751,15.66466111,1_Cer-NS(d18:1/24:1)-H | 1_Cer-NS(d20:2/22:0)-H | 1_Cer-NS(d18:2/24:0)-H | 1_Cer-NS(d16:1/26:1)-H | 1_Cer-NS(d27:2/15:0)-H,17010.9993 | 8904.6483 | 8835.79068 | 8618.72076 | 7516.782942,Cer-NS,[M-H]-,Yes,0,306441.2646,915463.1219,472911.3786,197409.9654,314086.7497,509114.0974,708350.3052,1090712.879,0,253765.06,373185.8151,291312.0136,715434.8221,507082.2362,430150.4672,462775.1746,350496.211,46684.44294,251252.1291,241326.3288,219635.4907,761835.162,1972788.578,259816.8821,235019.7285,378787.0625,179411.5574,139533.0503,669180.5464,702450.339,0,417359.9472,745001.2638,768996.2783,572681.3041,792777.9872,1893801.171,1786493.179,253753.5799,887111.8941,1184651.774,660500.5932,0,990442.5804,919345.24,553482.1373,309813.5057,379615.2908,1955406.576,338742.4842,216781.1153,1339125.68,938219.9522,664654.6751,487636.4981,466844.881,1565464.718,413460.4901,417043.8633,1291464.792,385231.3418,964755.2386,1419561.701,810914.7101,657285.3767,388.9059175,350173.8612,684039.3606,506493.3539,176742.1949,556359.4385,1590000.438,625007.5429,1148295.028,312007.2282,515793.8354,926426.4664,992412.5047,329273.9221,701279.0961,240064.7999
543,582.5087571,13.32092967,1_Cer-NS(d18:1/16:0)+HCO2 | 1_Cer-NS(d19:1/15:0)+HCO2,11677.545 | 6670.2424,Cer-NS,[M+HCO2]-,Yes,56.25165609,153229.7721,1067468.048,1171576.341,379716.7474,631502.2047,941674.4433,550206.0229,2344848.566,91.49256254,487456.8911,350942.7147,384341.0695,319346.897,805818.4916,321051.0188,370359.5059,169495.754,539082.2703,408506.7113,398612.0217,750372.9901,723174.4609,2551880.348,709331.64,732323.8648,342568.3276,368545.8252,440576.4543,348661.4725,1060760.103,101.7538917,689413.537,671251.9848,953595.0618,1296568.699,851682.9691,3444641.359,3111713.318,595662.5517,1246660.787,1251502.21,885972.2171,452.2817234,2579988.247,2471967.145,258319.9371,790795.8899,339205.1573,3329936.263,1028057.987,687570.1755,2693886.862,736219.7281,733826.3351,422219.984,440893.6037,2849399.179,372424.8631,346721.5737,3231246.958,1346487.76,914944.0831,2917128.926,1275744.162,1198978.794,115.0693667,374360.0217,442977.5722,1319525.319,445497.2135,959795.0721,3142733.921,970307.4927,1536021.257,780621.306,473423.9861,1636322.514,1575840.416,1120163.59,1052428.091,791381.609
547,620.5967802,15.69416303,1_Cer-NS(d18:1/22:0)-H | 1_Cer-NDS(d16:0/24:1)-H | 1_Cer-NS(d16:1/24:0)-H | 1_Cer-NS(d17:1/23:0)-H | 1_Cer-NS(d25:1/15:0)-H | 1_Cer-NS(d27:1/13:0)-H | 1_Cer-NDS(d18:0/22:1)-H,35649.549 | 22987.94602 | 21049.6351 | 15811.07747 | 15605.3369 | 15254.8685 | 12315.79386,Cer-NS,[M-H]-,No,0,45105.73333,294941.2886,211076.0071,32133.28399,95492.27642,231495.046,103474.5374,351730.2387,0,65561.98403,106443.8522,47715.72371,128300.5653,183501.8835,39821.76595,85762.40559,44321.78485,47544.53441,31962.69764,41557.88188,135729.3099,152465.808,561996.3673,37166.67501,83853.07438,57391.85408,55684.21048,19270.91361,58566.16246,279693.3481,0,95713.88963,145049.5239,112930.8179,148873.5715,84785.77929,863610.8689,719950.2455,82035.88393,289682.7098,280163.2178,171318.8531,0,458063.0739,168507.1742,70212.77243,81139.75655,47478.13398,609065.004,143562.1791,68044.97872,413371.8147,156016.5624,86141.94521,58521.65644,103791.5013,704474.3206,53663.43886,52912.29391,459563.9267,182743.1211,124202.6142,501931.3202,230913.7964,124793.0033,152.1195819,113082.7821,78524.30058,320012.2648,57515.37701,119866.2586,629358.3491,139063.6776,214603.9294,47722.88545,50498.98233,447872.7776,441803.052,120209.1046,220785.1291,70907.58338
549,648.628169,16.13729675,1_Cer-NS(d18:1/24:0)-H | 1_Cer-NS(d26:1/16:0)-H | 1_Cer-NS(d27:1/15:0)-H | 1_Cer-NS(d20:1/22:0)-H | 1_Cer-NS(d19:1/23:0)-H | 1_Cer-NDS(d18:0/24:1)-H | 1_Cer-NDS(d26:0/16:1)-H,84276.599 | 44084.571338 | 31042.76173 | 30169.80365 | 30024.450882 | 24048.1254 | 23314.28627,Cer-NS,[M-H]-,No,1201.999235,457219.706,732396.2158,786876.9431,263322.6724,493169.4399,448152.5308,619257.0196,1094863.184,589.5646295,275222.0717,375873.2076,289991.8966,684634.4553,455637.629,475194.456,450135.4541,396156.6877,202137.827,340337.6584,191437.4204,796048.9904,829756.4522,688445.5496,408289.8656,552260.6589,425798.8624,232850.2833,334713.7258,946633.2632,901621.786,92.12999451,647949.6395,558167.4579,683398.9091,592930.6388,652376.8124,1561966.847,1223391.189,248007.9143,939858.9462,745364.81,848048.3505,1359.681946,1056241.551,1193537.541,717507.9038,766043.5482,352851.9957,2494827.943,493240.917,499574.706,1602523.264,732532.9487,533773.8915,378897.4108,432744.4436,1471918.641,348601.1457,387430.0311,1601215.908,497589.0286,826418.9695,1439683.773,1010742.237,886598.8886,2487.179872,589173.2885,695783.7057,822561.9653,175838.1908,761481.7602,1001718.962,1138345.647,1256088.743,549410.236,266908.6536,744293.4693,785066.7033,936753.0504,794608.5188,591059.8934
230,692.6180213,15.66677201,1_Cer-NS(d18:1/24:1)+HCO2 | 1_Cer-NS(d20:2/22:0)+HCO2 | 1_Cer-NS(d16:1/26:1)+HCO2 | 1_Cer-NS(d27:2/15:0)+HCO2 | 1_Cer-NS(d18:2/24:0)+HCO2 | 1_Cer-NS(d19:2/23:0)+HCO2 | 1_Cer-NDS(d18:0/24:2)+HCO2,32047.4101 | 20507.5691 | 18392.46882 | 18254.80222 | 18227.33251 | 18086.849954 | 15752.79397,Cer-NS,[M+HCO2]-,No,408.3638786,374446.0079,1076719.337,609945.6258,370863.464,522133.5839,722380.012,858427.3883,1703840.807,0,227265.8201,482360.4891,467470.3034,668218.4402,642384.9072,614294.9303,549657.6418,515526.4239,72308.36551,403311.8506,283599.7742,327114.433,1017093.583,1652832.726,420442.5061,365346.7487,793217.8802,254452.5352,361664.8096,946474.4579,834544.0084,0,740326.4362,924272.9661,1268876.194,800287.9176,834698.2522,1937784.001,1644475.919,400924.2203,1094991.738,1268715.001,1015516.287,0,1762119.545,1812342.327,751953.9872,324263.2753,539894.1432,2376770.702,572800.1861,472810.3212,1777035.161,1041905.306,901979.1136,688951.508,842606.0445,1857079.453,635868.9816,689695.0901,1693683.171,778914.0226,1113735.253,1910749.022,1097860.267,1357502.907,0,661934.5387,938247.1584,780885.6762,297548.2156,905470.215,2352420.863,975949.9196,1516410.732,530261.5373,756874.1018,1449529.58,1164824.54,626363.8386,878850.5145,307877.7118
560,690.6023,15.23307286,1_Cer-NS(d18:2/24:1)+HCO2 | 1_Cer-NS(d16:1/26:2)+HCO2 | 1_Cer-NS(d18:1/24:2)+HCO2 | 1_Cer-NS(d20:3/22:0)+HCO2 | 1_Cer-NS(d20:2/22:1)+HCO2 | 1_Cer-NS(d27:3/15:0)+HCO2 | 1_Cer-NS(d19:3/23:0)+HCO2,20623.8518 | 17509.398314 | 13992.5938 | 13863.9941 | 12523.346 | 12458.962236 | 12354.73215,Cer-NS,[M+HCO2]-,Yes,0,161276.2238,295791.8745,236198.3033,76344.02425,122702.366,116751.9729,226835.3095,564679.367,0,86056.99509,127876.5868,154163.004,309636.2864,235978.5672,220625.8732,145502.2725,159656.5052,82283.81283,100836.2771,68619.26106,71645.33998,243900.9009,815723.0768,110876.3414,116674.1448,205334.1523,58700.06334,85080.66648,354933.5034,260454.7438,0,200680.533,255330.5493,346802.2858,182182.5737,298723.0355,1036988.83,651925.1009,99627.92674,424948.6594,426890.2175,333370.57,89.27755804,705144.6295,711628.8024,198896.4992,129433.0718,258025.5968,719867.7793,145460.6177,117779.2101,832710.9989,285479.6638,331177.1886,206520.531,251269.9778,635732.2849,185696.3908,213311.1335,583812.8149,168857.9818,349811.8901,898714.6325,248199.9469,437516.7793,0,246098.045,361451.8639,176485.8679,92958.13698,198090.8636,613843.143,233176.4881,471457.9193,129110.0487,298187.0273,423348.5996,437521.1829,92530.14142,444071.0689,112086.6553
561,692.6177319,15.42621453,1_Cer-NS(d18:1/24:1)+HCO2 | 1_Cer-NS(d19:1/23:1)+HCO2 | 1_Cer-NS(d20:2/22:0)+HCO2 | 1_Cer-NS(d17:1/25:1)+HCO2 | 1_Cer-NS(d21:2/21:0)+HCO2 | 1_Cer-NS(d27:2/15:0)+HCO2 | 1_Cer-NS(d19:2/23:0)+HCO2 | 1_Cer-NDS(d18:0/24:2)+HCO2 | 1_Cer-NS(d28:2/14:0)+HCO2 | 1_Cer-NS(d27:1/15:1)+HCO2 | 1_Cer-NS(d20:1/22:1)+HCO2,10585.410775 | 8576.405385 | 3438.793741 | 3379.597935 | 2755.216115 | 2735.537575 | 2454.867315 | 2170.3609 | 2030.928045 | 1992.189705 | 1918.146594,Cer-NS,[M+HCO2]-,No,0,47859.02037,221938.6159,206330.7854,35670.5968,46099.55915,110121.8151,156374.0004,146995.7698,0,62238.872,93798.14071,116777.3347,92887.51703,145972.1972,74297.17521,118690.1106,58136.29364,63059.97988,61394.33206,60798.8051,41581.20946,163041.3135,354482.5669,60581.86738,56017.15785,109299.6897,43373.21632,46612.82037,107109.1386,184958.5745,0,111955.4265,90417.72563,127997.4235,169445.503,117895.3292,390103.174,325136.0177,74898.67197,248596.3822,271418.183,205372.6717,0,293434.281,160946.8046,82363.82067,50243.82711,83989.00811,417600.01,101915.4096,68640.92684,163287.3367,130402.0628,87519.62544,78747.66211,117228.0248,398608.0415,64287.84408,74619.16899,187229.9889,134391.6415,116271.9028,217342.3987,190246.8996,163904.045,132.6336002,119897.2986,117137.8844,121162.1289,61875.22609,154356.8342,333046.5098,172379.032,241657.1771,69545.89085,63663.36864,426029.2039,280366.8681,45411.16694,209791.553,52297.40618
